Timestamp;Event;Qty;Fill_Price;$_Commission;$_Profit_Loss;$_Strategy;$_Account;Signal;Indicators
2024-03-18T08:51:36;Signal;;;;;;;FIB_EMA_CROSS;2024-03-18T08:51:36;Indicator;;;;;;;;1000_SMA;18095.05;14_P_MA_ENVELOPES_LOWER;17886.1;14_P_MA_ENVELOPES_MID;18158.48;14_P_MA_ENVELOPES_UPPER;18430.86;144_SMA;18167.38;236_EMA;18142.64;382_EMA;18125.44;618_EMA;18111.85;62_ZLEMA;18153.57;8_ZLEMA;18156.36;ACCUM_DIST;1592576.55;ADX;23.93;APZ_LOW;18137.32;APZ_UPPER;18174.42;AROON DOWN;85.71;AROON UP;42.86;ATR;9.61;AWESOME;-6.34;BOLLI_500_P_LOWER;18055.19;BOLLI_500_P_MID;18101.51;BOLLI_500_P_UPPER;18147.82;CCI;-62.52;CHAIKIN;670.78;CMO;-22.73;CP+_C;18063.5;CP+_R1;18092.51;CP+_R2;18121.53;CP+_R3;18150.54;CP+_R4;18237.58;CP+_R5;18380;CP+_R6;18575.6;CP+_S1;18034.49;CP+_S2;18005.48;CP+_S3;17976.46;CP+_S4;17889.43;CP+_S5;17747;CP+_S6;17551.4;DISPARITY_INDEX;-0.06;DM_ADX_PLOT;23.93;DM_DI_MINUS;18.56;DM_DI_PLUS;11.78;DYNAMIC_MOMENTUM;39.29;FISHER_TRANSFORM;-0.79;LIN_REG;18151.86;LIN_REG_INTERCEPT;18165.11;LIN_REG_SLOPE;-1.02;MACD_AVG;-4.53;MACD_DEFAULT;-4.06;MACD_DIFF;0.47;MFI;18.89;MOMENTUM;-12.5;OBV;1599730;PFE;0;R_SQUARED;0.1;RIND;36.58;RSI_AVERAGE;43.44;RSI_DEFAULT;39.83;RSS;47.64;RVI;70.76;STOCH_FAST_D;52.33;STOCH_FAST_K;11.63;TRIX_DEFAULT;0;TRIX_SIGNAL;0;VOLUME;813;VOLUME_DOWN;813;VOLUME_UP;0;VORTEX_MINUS;0.99;VORTEX_PLUS;0.96;VROC;880.36;VWAP;18165.8;VWAP_CLOUD_HIGH;18165.8;VWAP_CLOUD_LOW;18150;VWAP_L1;18149.62;VWAP_L2;18133.44;VWAP_U1;18181.98;VWAP_U2;18198.15;WILLIAMS_%R;-88.37;ZIGZAG_HIGH;18163.75;ZIGZAG_LOW;18148.75
2024-03-18T09:37:57;Parabolic stop;1;18154,50
2024-03-18T09:37:57;Parabolic stop;1;18154,50
2024-03-18T09:37:57;Parabolic stop;1;18154,50
2024-03-18T09:37:57;Parabolic stop;1;18154,50
2024-03-18T09:37:57;Profit;;;;$75,00
2024-03-18T09:37:57;Strategy;;;;;$-1250,00
2024-03-18T09:37:57;Account;;;;;;$248750,00
2024-03-18T13:22:00;Signal;;;;;;;FIB_EMA_CROSS;2024-03-18T13:22:00;Indicator;;;;;;;;1000_SMA;18107.37;14_P_MA_ENVELOPES_LOWER;18002.72;14_P_MA_ENVELOPES_MID;18276.88;14_P_MA_ENVELOPES_UPPER;18551.03;144_SMA;18210.28;236_EMA;18200.87;382_EMA;18176.57;618_EMA;18152.44;62_ZLEMA;18284.32;8_ZLEMA;18270.41;ACCUM_DIST;1621299.55;ADX;44.71;APZ_LOW;18259.06;APZ_UPPER;18292.63;AROON DOWN;0;AROON UP;85.71;ATR;8.35;AWESOME;13.05;BOLLI_500_P_LOWER;18086.04;BOLLI_500_P_MID;18146.63;BOLLI_500_P_UPPER;18207.21;CCI;-88.64;CHAIKIN;129.57;CMO;-8.33;CP+_C;18063.5;CP+_R1;18092.51;CP+_R2;18121.53;CP+_R3;18150.54;CP+_R4;18237.58;CP+_R5;18380;CP+_R6;18575.6;CP+_S1;18034.49;CP+_S2;18005.48;CP+_S3;17976.46;CP+_S4;17889.43;CP+_S5;17747;CP+_S6;17551.4;DISPARITY_INDEX;-0.01;DM_ADX_PLOT;44.71;DM_DI_MINUS;9.46;DM_DI_PLUS;11.19;DYNAMIC_MOMENTUM;27.52;FISHER_TRANSFORM;0.56;LIN_REG;18276.61;LIN_REG_INTERCEPT;18277.14;LIN_REG_SLOPE;-0.04;MACD_AVG;7.18;MACD_DEFAULT;5.11;MACD_DIFF;-2.07;MFI;65.22;MOMENTUM;-2.5;OBV;1628453;PFE;0.49;R_SQUARED;0.54;RIND;20.81;RSI_AVERAGE;54.53;RSI_DEFAULT;49.13;RSS;40.76;RVI;80;STOCH_FAST_D;28.36;STOCH_FAST_K;18.29;TRIX_DEFAULT;0.01;TRIX_SIGNAL;0.01;VOLUME;275;VOLUME_DOWN;275;VOLUME_UP;0;VORTEX_MINUS;0.96;VORTEX_PLUS;1.04;VROC;377.87;VWAP;18189;VWAP_CLOUD_HIGH;18268.75;VWAP_CLOUD_LOW;18189;VWAP_L1;18149.39;VWAP_L2;18109.78;VWAP_U1;18228.62;VWAP_U2;18268.23;WILLIAMS_%R;-81.71;ZIGZAG_HIGH;18285;ZIGZAG_LOW;18248.75
2024-03-18T13:22:00;SE1;1;18268,75
2024-03-18T13:22:00;SE2;1;18268,75
2024-03-18T13:22:00;SE3;1;18268,75
2024-03-18T13:22:00;SE4;1;18268,75
2024-03-18T13:22:00;SE5;1;18268,75
2024-03-18T14:00:01;Parabolic stop;1;18279,00
2024-03-18T14:00:01;Parabolic stop;1;18279,00
2024-03-18T14:00:01;Parabolic stop;1;18279,00
2024-03-18T14:00:01;Parabolic stop;1;18279,00
2024-03-18T14:00:01;Parabolic stop;1;18279,00
2024-03-18T14:00:01;Loss;;;;$-1025,00
2024-03-18T14:00:01;Strategy;;;;;$-2275,00
2024-03-18T14:00:01;Account;;;;;;$247725,00
