iter	Passed	Remaining
411	3562	5084
412	3568	5072
413	3581	5069
414	3589	5059
415	3597	5050
416	3605	5040
417	3612	5029
418	3619	5018
419	3626	5007
420	3634	4999
421	3642	4989
422	3649	4978
423	3657	4968
424	3666	4960
425	3675	4952
426	3682	4942
427	3689	4931
428	3702	4927
429	3708	4916
430	3716	4906
431	3723	4895
432	3733	4888
433	3739	4877
434	3747	4867
435	3754	4856
436	3764	4850
437	3771	4839
438	3778	4828
439	3784	4816
440	3793	4809
441	3802	4800
442	3809	4789
443	3816	4779
444	3826	4772
445	3832	4761
446	3841	4752
447	3847	4741
448	3856	4732
449	3863	4721
450	3869	4710
451	3876	4699
452	3885	4691
453	3892	4680
454	3899	4670
455	3907	4662
456	3916	4653
457	3923	4643
458	3931	4633
459	3938	4623
460	3947	4615
461	3955	4606
462	3964	4597
463	3970	4586
464	3980	4579
465	3988	4570
466	3995	4560
467	4002	4549
468	4013	4543
469	4020	4534
470	4027	4523
471	4034	4513
472	4043	4505
473	4051	4495
474	4057	4485
475	4064	4474
476	4073	4466
477	4081	4456
478	4087	4446
479	4095	4436
480	4107	4431
481	4114	4422
482	4121	4411
483	4128	4401
484	4138	4394
485	4145	4384
486	4152	4374
487	4161	4366
488	4169	4356
489	4175	4346
490	4183	4337
491	4191	4327
492	4202	4321
493	4209	4312
494	4216	4301
495	4223	4291
496	4232	4283
497	4239	4273
498	4246	4263
499	4255	4255
500	4263	4246
501	4270	4236
502	4278	4227
503	4286	4218
504	4298	4212
505	4305	4203
506	4312	4193
507	4322	4186
508	4329	4176
509	4338	4168
510	4347	4159
511	4355	4151
512	4362	4141
513	4368	4130
514	4375	4120
515	4385	4113
516	4393	4104
517	4400	4094
518	4406	4084
519	4416	4076
520	4424	4067
521	4434	4060
522	4444	4053
523	4452	4044
524	4458	4034
525	4465	4024
526	4474	4016
527	4482	4006
528	4488	3996
529	4497	3988
530	4507	3981
531	4514	3971
532	4521	3961
533	4527	3951
534	4538	3944
535	4545	3934
536	4552	3924
537	4559	3915
538	4571	3909
539	4577	3899
540	4585	3890
541	4592	3880
542	4603	3874
543	4610	3865
544	4617	3855
545	4624	3845
546	4633	3837
547	4641	3828
548	4647	3818
549	4654	3808
550	4664	3800
551	4672	3792
552	4681	3783
553	4691	3776
554	4700	3769
555	4707	3759
556	4714	3749
557	4722	3741
558	4730	3732
559	4737	3722
560	4744	3712
561	4753	3704
562	4760	3694
563	4767	3685
564	4775	3676
565	4787	3671
566	4795	3661
567	4801	3651
568	4808	3642
569	4817	3634
570	4824	3624
571	4832	3616
