iter	Logloss
0	0.6926964189
1	0.6920586155
2	0.6913651418
3	0.6906782873
4	0.6897907693
5	0.6892134436
6	0.6883635499
7	0.6877338287
8	0.6872817784
9	0.686703756
10	0.6855278538
11	0.6848761154
12	0.6841482223
13	0.6834884713
14	0.6827425325
15	0.6820097623
16	0.6813970418
17	0.6807055887
18	0.680134255
19	0.6795303136
20	0.6788328685
21	0.678402278
22	0.6778823644
23	0.6771883333
24	0.676654415
25	0.676236366
26	0.6756723482
27	0.6754427696
28	0.674630152
29	0.673981758
30	0.6729108558
31	0.6723425181
32	0.6719970703
33	0.6711099703
34	0.6703074555
35	0.6697349374
36	0.669205548
37	0.6687779535
38	0.6682801965
39	0.6675209498
40	0.6670044503
41	0.6664315141
42	0.665774132
43	0.6653970518
44	0.6649273041
45	0.6640358145
46	0.6631085121
47	0.6625569661
48	0.6620337081
49	0.6612401814
50	0.6606804835
51	0.6601402248
52	0.6594250126
53	0.6588432974
54	0.6580940142
55	0.6576815392
56	0.6571552851
57	0.6568264896
58	0.6561827638
59	0.6557941872
60	0.6553282019
61	0.6546411384
62	0.6541536932
63	0.6534253822
64	0.6530202927
65	0.6523459099
66	0.6517734615
67	0.65112667
68	0.6507376754
69	0.650111647
70	0.6493107347
71	0.6485612425
72	0.6480409108
73	0.647379627
74	0.6468216012
75	0.6463402874
76	0.6455225836
77	0.645051721
78	0.6442766581
79	0.6432983538
80	0.6426094787
81	0.6420985531
82	0.6415537656
83	0.641103039
84	0.6404398043
85	0.6398507035
86	0.6390474224
87	0.6381265997
88	0.6375350604
89	0.6372686238
90	0.6365190619
91	0.6358701105
92	0.6352098718
93	0.634578339
94	0.6342181898
95	0.6337754062
96	0.6334478648
97	0.6330024336
98	0.6325289234
99	0.631760828
100	0.6312009907
101	0.6306672118
102	0.6301383798
103	0.6293883999
104	0.6288202713
105	0.6283512899
106	0.6280952349
107	0.6276309218
108	0.6270287919
109	0.6264365558
110	0.6259530124
111	0.6256182248
112	0.6249000863
113	0.6243100798
114	0.6237386068
115	0.623178003
116	0.6223525653
117	0.621644878
118	0.620988959
119	0.6205564177
120	0.620203863
121	0.6196191518
122	0.6192069554
123	0.6187085713
124	0.618395592
125	0.6180927851
126	0.6174583958
127	0.6170494045
128	0.6167167768
129	0.6163688207
130	0.6158909907
131	0.6155243617
132	0.6150750983
133	0.6144595908
134	0.6138484728
135	0.6133872951
136	0.613039966
137	0.6123701818
138	0.6120824248
139	0.6116940572
140	0.6112969107
141	0.6109199698
142	0.6103729527
143	0.6098936595
144	0.6096071566
145	0.6090622993
146	0.6084884574
