Date,open,high,low,close,Volume
2024-03-01 06:00:01,0.0,18363.5,0.0,1.0,721
2024-03-01 06:00:02,18362.25,18363.5,0.0,2.0,173
2024-03-01 06:00:03,18359.5,18362.75,0.0,2.0,148
2024-03-01 06:00:04,1.0,18362.5,0.0,1.0,59
2024-03-01 06:00:06,18359.5,18362.25,0.0,0.0,130
2024-03-01 06:00:07,18359.75,18362.0,0.0,0.0,393
2024-03-01 06:00:09,18358.75,18361.5,0.0,2.0,219
2024-03-01 06:00:10,18359.0,18362.25,0.0,1.0,317
2024-03-01 06:00:12,18358.75,18359.0,0.0,1.0,36
2024-03-01 06:00:13,18358.75,18358.75,0.0,1.0,16
2024-03-01 06:00:15,18358.75,18358.75,1.0,1.0,3
2024-03-01 06:00:16,18359.0,18359.0,0.0,1.0,36
2024-03-01 06:00:17,18358.75,18359.0,0.0,1.0,26
2024-03-01 06:00:20,2.0,18362.5,0.0,2.0,224
2024-03-01 06:00:21,1.0,18361.75,0.0,0.0,53
2024-03-01 06:00:22,18359.25,18359.25,0.0,0.0,61
2024-03-01 06:00:23,18361.75,18361.75,0.0,2.0,45
2024-03-01 06:00:25,2.0,18359.0,0.0,1.0,37
2024-03-01 06:00:26,1.0,18359.0,0.0,2.0,101
2024-03-01 06:00:28,2.0,18359.25,0.0,1.0,272
2024-03-01 06:00:30,1.0,2.0,0.0,1.0,119
2024-03-01 06:00:32,1.0,1.0,1.0,1.0,28
2024-03-01 06:00:33,1.0,1.0,1.0,1.0,7
2024-03-01 06:00:34,1.0,1.0,1.0,1.0,7
2024-03-01 06:00:40,1.0,1.0,1.0,1.0,14
2024-03-01 06:00:43,1.0,18362.5,0.0,1.0,401
2024-03-01 06:00:44,1.0,18362.25,0.0,1.0,297
2024-03-01 06:00:45,2.0,18359.75,0.0,2.0,139
2024-03-01 06:00:46,2.0,18359.75,0.0,2.0,67
2024-03-01 06:00:47,18359.5,18359.75,0.0,0.0,49
2024-03-01 06:00:49,18359.75,18359.75,0.0,0.0,114
2024-03-01 06:00:50,1.0,18359.75,0.0,0.0,55
2024-03-01 06:00:51,18359.75,18359.75,0.0,2.0,31
2024-03-01 06:00:54,18362.25,18362.25,0.0,0.0,133
2024-03-01 06:00:55,1.0,18359.75,0.0,1.0,57
2024-03-01 06:00:56,18360.0,18360.0,0.0,1.0,29
2024-03-01 06:01:00,2.0,18363.75,0.0,1.0,378
2024-03-01 06:01:03,18358.75,18362.5,0.0,0.0,149
2024-03-01 06:01:04,18360.0,18360.0,0.0,0.0,38
2024-03-01 06:01:05,18360.0,18360.0,0.0,1.0,154
2024-03-01 06:01:06,18360.0,18360.0,0.0,2.0,176
2024-03-01 06:01:08,18358.75,18363.75,0.0,0.0,613
2024-03-01 06:01:10,2.0,2.0,0.0,1.0,16
2024-03-01 06:01:12,2.0,18363.5,0.0,0.0,67
2024-03-01 06:01:13,2.0,18360.0,0.0,1.0,191
2024-03-01 06:01:14,1.0,2.0,0.0,0.0,48
2024-03-01 06:01:15,18359.5,18362.25,0.0,0.0,35
2024-03-01 06:01:16,0.0,2.0,0.0,1.0,178
2024-03-01 06:01:17,18358.75,18362.0,0.0,2.0,249
2024-03-01 06:01:18,18359.25,18359.25,0.0,2.0,42
2024-03-01 06:01:19,18359.5,18359.5,0.0,1.0,31
2024-03-01 06:01:20,2.0,18363.5,0.0,0.0,67
2024-03-01 06:01:21,18359.25,18359.5,0.0,0.0,100
2024-03-01 06:01:23,18358.75,18361.75,0.0,1.0,58
2024-03-01 06:01:25,1.0,18362.5,0.0,2.0,473
2024-03-01 06:01:26,1.0,1.0,1.0,1.0,21
2024-03-01 06:01:27,18358.75,18361.5,0.0,1.0,99
2024-03-01 06:01:28,18358.75,18359.0,0.0,1.0,72
2024-03-01 06:01:29,1.0,2.0,0.0,2.0,38
2024-03-01 06:01:30,18358.75,18359.0,0.0,1.0,113
2024-03-01 06:01:33,18358.75,18362.5,0.0,0.0,323
2024-03-01 06:01:34,18359.0,18361.75,0.0,1.0,77
2024-03-01 06:01:36,1.0,18361.5,0.0,1.0,53
2024-03-01 06:01:37,18358.75,18358.75,0.0,1.0,16
