feature,optimal_win_range_start,optimal_win_range_end
AWESOME,-1.0291040307957149,0.9329336574135545
MA_ENVELOPES_UPPER_percent_away,-2.4805236002653652,-2.1789688016124398
MA_ENVELOPES_UPPER_percent_away,-0.5668104549679569,0.952561799783318
MA_ENVELOPES_UPPER_percent_away,4.130485447125681,4.49003155321186
ZIGZAG_LOW_percent_away,-0.8451647459852705,0.4379986677973289
ZIGZAG_LOW_percent_away,5.069607561355473,5.240696016526486
MA_ENVELOPES_LOWER_percent_away,-2.480017216060486,-2.178434282077167
MA_ENVELOPES_LOWER_percent_away,-0.5661255196278834,0.9533884939034545
MA_ENVELOPES_LOWER_percent_away,4.131608644343049,4.491188296400082
ZIGZAG_HIGH_percent_away,-9.732692739652368,-8.413518518074273
ZIGZAG_HIGH_percent_away,-8.137120109743625,-6.415911839684586
ZIGZAG_HIGH_percent_away,-0.14669339618487776,1.1222265693330993
ADX,-1.4673546404255045,-0.13122655132832284
MA_ENVELOPES_MID_percent_away,-2.4812879266568135,-2.1796796453610794
MA_ENVELOPES_MID_percent_away,-0.5672353722800381,0.9524063527100086
MA_ENVELOPES_MID_percent_away,4.130893624826594,4.4905034986792005
MACD_AVG,-1.0272760988271843,0.9038016708890018
APZ_UP_percent_away,-2.723445623544305,-1.9938133518242092
APZ_UP_percent_away,-0.5840154030769069,0.9247157350561714
APZ_UP_percent_away,2.520013413901804,2.792079684712686
APZ_UP_percent_away,4.276077525499321,4.572877093656647
LIN_REG_percent_away,-2.8274629209045274,-2.4380280267058394
LIN_REG_percent_away,-2.1784047639067134,-1.954184673307469
LIN_REG_percent_away,-0.45545038351251677,0.9842786192826338
LIN_REG_percent_away,2.305997048078183,2.612824540477149
LIN_REG_percent_away,4.040752485872339,4.3357789208713475
