feature,optimal_win_range_start,optimal_win_range_end
ADX,-1.1038442064945433,-0.4774530378374524
ADX,-0.13969309395372687,0.8183169286982945
ADX,1.125371423138045,2.482552288561742
AROON DOWN,-0.6307378784790878,-0.01646585901784825
AROON DOWN,0.8914416862298081,2.39674564600845
AROON UP,-2.5297634902316024,-0.8717694678409793
AROON UP,-0.33442385717280265,0.13928872065308928
ATR,-1.4914912551198916,-0.6956615641322377
ATR,0.49808297234924304,1.0768682021584457
ATR,1.6267141704771886,3.6669321055546282
AWESOME,-1.958854907104692,-0.7405187399296869
AWESOME,-0.29830783480690704,0.5229409889925409
CCI,-1.4662633109674785,-0.8462031425092242
CCI,0.010790586254216805,0.7417558254936225
CCI,1.2861989002374556,2.047410976962629
CHAIKIN,-4.097104782500653,-1.4927052866873591
CHAIKIN,-1.3556316290129757,-0.1356760757109594
CHAIKIN,1.605159376753715,3.812045265311296
CMO,-2.515215824632125,-0.42894877984847346
CMO,1.6364555944873413,2.4813937476247196
DISPARITY_INDEX,-1.9368217102012977,-1.249018558607041
DISPARITY_INDEX,-0.8488421794976553,-0.47992958000619024
DISPARITY_INDEX,0.06406018534563085,0.4767420763021848
DISPARITY_INDEX,0.8018853843285605,1.5647216070058274
DM_ADX_PLOT,-1.1038442064945433,-0.4774530378374524
DM_ADX_PLOT,-0.13969309395372687,0.8183169286982945
DM_ADX_PLOT,1.125371423138045,2.482552288561742
