feature,optimal_win_range_start,optimal_win_range_end
ZLEMA_13_binary,0.33233233233233234,0.7137137137137137
ZLEMA_13_binary,0.8998998998998999,1.0
ADX,9.3,24.613953953953953
ACCUM_DIST_percent_away,-63.341811919298245,-33.40135527800124
ACCUM_DIST_percent_away,-28.845198832586483,-7.6916153360179464
ACCUM_DIST_percent_away,10.85845019174215,30.710274703906464
ACCUM_DIST_percent_away,51.050258835222365,63.90512880621401
ACCUM_DIST_percent_away,68.46128525162877,82.12975458787307
DISPARITY_INDEX,-0.04,-0.014694694694694695
DISPARITY_INDEX,0.012532532532532531,0.04
LIN_REG_binary,0.33933933933933935,0.7217217217217217
LIN_REG_binary,0.8788788788788788,1.0
RSI_AVERAGE,37.53,45.045855855855855
RSI_AVERAGE,46.906216216216215,47.551141141141144
RSI_AVERAGE,53.95078078078078,62.31
CP+_S3_binary,0.4694694694694695,0.5265265265265265
CP+_S3_binary,0.8488488488488488,1.0
CP+_C_binary,0.0,0.06906906906906907
CP+_C_binary,0.36536536536536535,0.6496496496496497
CP+_C_binary,0.8498498498498498,1.0
LIN_REG_INTERCEPT_binary,0.3203203203203203,0.7137137137137137
LIN_REG_INTERCEPT_binary,0.8678678678678678,1.0
ZIGZAG_LOW_percent_away,0.012642537611520455,0.0570669281109282
ZIGZAG_LOW_percent_away,0.2174178233421237,0.22334107540871143
