feature,optimal_win_range_start,optimal_win_range_end
ZLEMA_13_binary,0.33233233233233234,0.7137137137137137
ZLEMA_13_binary,0.8998998998998999,1.0
AWESOME,-4.806876876876878,4.538148148148148
500P_BOLL_UPPER_percent_away,-0.32080993288319215,0.020079540720938205
ADX,9.3,24.613953953953953
APZ_UP_percent_away,-0.12247649887915771,-0.10364982918261118
APZ_UP_percent_away,-0.0672728741757247,-0.0283431503964251
APZ_UP_percent_away,0.01282024605873594,0.01984036018287194
APZ_UP_percent_away,0.058131891769068245,0.0657901980863075
ZIGZAG_HIGH_percent_away,-0.4024995906783823,-0.35372925498913793
ZIGZAG_HIGH_percent_away,-0.3435107084637724,-0.2798770323739964
ZIGZAG_HIGH_percent_away,-0.0481018180032064,-0.0011893998640284398
LIN_REG_binary,0.33933933933933935,0.7217217217217217
LIN_REG_binary,0.8788788788788788,1.0
CHAIKIN,-1635.16,-1483.9366766766768
CHAIKIN,-1197.5776176176178,-689.2098498498499
CHAIKIN,-126.14428428428437,128.03959959959957
CHAIKIN,604.2321921921923,726.4978578578578
CHAIKIN,964.594154154154,1167.2977577577578
CHAIKIN,1302.4334934934934,1579.14
ZLEMA_233_percent_away,-0.14735180952664195,-0.1137743164432468
ZLEMA_233_percent_away,-0.08057409856303586,0.047699470519597276
VROC,250.69249249249245,711.2615615615615
VROC,821.798138138138,1862.6842342342343
VROC,2203.505345345345,2562.749219219219
VROC,2857.5134234234233,3778.6515615615613
VROC,4027.358858858858,4819.537657657657
VROC,5528.814024024024,9102.83
