feature,trade_type,optimal_win_range_start,optimal_win_range_end
LIN_REG_INTERCEPT_binary,,-1.0438499133062349,-0.8073960985903497
LIN_REG_INTERCEPT_binary,,0.5411921836451652,0.9579921282290986
VWAP_CLOUD_LOW_binary,,-2.022857885020227,-1.7104116485030043
VWAP_CLOUD_LOW_binary,,0.14662767660339115,0.49435010111449357
VWAP_CLOUD_HIGH_binary,,-0.42583251793790156,-0.26476938545399936
VWAP_CLOUD_HIGH_binary,,1.5624640830702705,2.3483410915693104
BOLLI_500_LOWER_binary,,-1.502448981222481,-1.3418542415237094
BOLLI_500_LOWER_binary,,0.26626335464912554,0.6655800047109361
1000_SMA_binary,,0.4627080704824176,0.9932507665246445
VWAP_L1_binary,,-1.448413648755803,-1.1080001947103826
VWAP_L1_binary,,0.3478560867417295,0.6904105059069326
BOLLI_500_MID_binary,,-1.0726068417147094,-0.7354439759469351
BOLLI_500_MID_binary,,0.5871175034635603,0.9323080565115196
VWAP_L2_binary,,-2.7421215817740046,-1.2524734341693706
BOLLI_500_UPPER_binary,,-0.7629828681843762,-0.7048631564667751
BOLLI_500_UPPER_binary,,0.7502053404631654,1.3106454177400324
CP__S5_binary,,-0.06706346581079403,0.2928895930645032
