time,event,signal_name1,value
2024-03-26T14:30:14,Signal,FIB_EMA_CROSS,
2024-03-26T14:30:41,Signal,FIB_EMA_CROSS,
2024-03-26T14:51:17,Signal,FIB_EMA_CROSS,
2024-03-26T15:22:25,Signal,FIB_EMA_CROSS,
2024-03-26T15:41:02,Signal,FIB_EMA_CROSS,
2024-03-26T18:02:45,Signal,FIB_EMA_CROSS,
2024-03-26T18:44:27,Signal,FIB_EMA_CROSS,
2024-03-26T19:42:38,Signal,FIB_EMA_CROSS,
2024-03-26T20:05:33,Signal,FIB_EMA_CROSS,
2024-03-26T20:54:40,Signal,FIB_EMA_CROSS,
2024-03-27T14:43:43,Signal,FIB_EMA_CROSS,
2024-03-27T14:52:16,Signal,FIB_EMA_CROSS,
2024-03-27T15:11:09,Signal,FIB_EMA_CROSS,
2024-03-27T16:02:36,Signal,FIB_EMA_CROSS,
2024-03-27T16:11:26,Signal,FIB_EMA_CROSS,
2024-03-27T20:46:20,Signal,FIB_EMA_CROSS,
2024-03-27T23:05:57,Signal,FIB_EMA_CROSS,
2024-03-27T23:47:40,Signal,FIB_EMA_CROSS,
2024-03-28T00:51:29,Signal,FIB_EMA_CROSS,
2024-03-28T09:05:10,Signal,FIB_EMA_CROSS,
2024-03-28T15:05:45,Signal,FIB_EMA_CROSS,
2024-03-28T15:21:52,Signal,FIB_EMA_CROSS,
2024-03-28T16:35:54,Signal,FIB_EMA_CROSS,
2024-03-28T17:05:13,Signal,FIB_EMA_CROSS,
2024-03-28T17:31:51,Signal,FIB_EMA_CROSS,
2024-03-28T19:41:37,Signal,FIB_EMA_CROSS,
2024-03-28T20:54:10,Signal,FIB_EMA_CROSS,
2024-03-28T20:59:46,Signal,FIB_EMA_CROSS,
2024-03-28T21:38:29,Signal,FIB_EMA_CROSS,
2024-04-01T00:00:00,Signal,FIB_EMA_CROSS,
2024-04-01T00:00:00,Signal,FIB_EMA_CROSS,
2024-04-01T00:00:00,Signal,FIB_EMA_CROSS,
2024-04-01T10:04:00,Signal,FIB_EMA_CROSS,
2024-04-01T13:02:13,Signal,FIB_EMA_CROSS,
2024-04-01T15:01:48,Signal,FIB_EMA_CROSS,
2024-04-01T15:43:05,Signal,FIB_EMA_CROSS,
2024-04-01T15:47:21,Signal,FIB_EMA_CROSS,
2024-04-01T16:02:37,Signal,FIB_EMA_CROSS,
2024-04-01T16:26:34,Signal,FIB_EMA_CROSS,
2024-04-01T16:35:30,Signal,FIB_EMA_CROSS,
2024-04-01T17:06:13,Signal,FIB_EMA_CROSS,
2024-04-01T17:09:36,Signal,FIB_EMA_CROSS,
2024-04-01T20:42:43,Signal,FIB_EMA_CROSS,
2024-04-01T21:26:04,Signal,FIB_EMA_CROSS,
2024-04-01T21:52:22,Signal,FIB_EMA_CROSS,
2024-04-01T22:59:59,Signal,FIB_EMA_CROSS,
2024-04-02T06:21:47,Signal,FIB_EMA_CROSS,
2024-04-02T08:59:55,Signal,FIB_EMA_CROSS,
2024-04-02T13:20:16,Signal,FIB_EMA_CROSS,
2024-04-02T13:47:43,Signal,FIB_EMA_CROSS,
2024-04-02T15:01:22,Signal,FIB_EMA_CROSS,
2024-04-02T15:31:17,Signal,FIB_EMA_CROSS,
2024-04-02T15:33:37,Signal,FIB_EMA_CROSS,
2024-04-02T15:38:00,Signal,FIB_EMA_CROSS,
2024-04-02T15:52:25,Signal,FIB_EMA_CROSS,
2024-04-02T16:33:34,Signal,FIB_EMA_CROSS,
2024-04-02T16:41:43,Signal,FIB_EMA_CROSS,
2024-04-02T18:08:11,Signal,FIB_EMA_CROSS,
2024-04-02T19:54:22,Signal,FIB_EMA_CROSS,
2024-04-02T20:35:46,Signal,FIB_EMA_CROSS,
2024-04-02T20:45:52,Signal,FIB_EMA_CROSS,
2024-04-03T03:58:53,Signal,FIB_EMA_CROSS,
2024-04-03T06:21:06,Signal,FIB_EMA_CROSS,
2024-04-03T09:05:37,Signal,FIB_EMA_CROSS,
2024-04-03T09:33:05,Signal,FIB_EMA_CROSS,
2024-04-03T09:48:48,Signal,FIB_EMA_CROSS,
2024-04-03T10:05:29,Signal,FIB_EMA_CROSS,
2024-04-03T15:10:44,Signal,FIB_EMA_CROSS,
2024-04-03T15:49:09,Signal,FIB_EMA_CROSS,
2024-04-03T18:12:11,Signal,FIB_EMA_CROSS,
2024-04-03T19:38:28,Signal,FIB_EMA_CROSS,
