timestamp,action,direction,price,quantity
2024-05-12 17:00:02.500,entry,short,18204.0,-1
2024-05-12 17:05:01.100,exit,short,18267.0,-1
2024-05-12 17:19:02.400,entry,long,18243.0,1
2024-05-12 17:25:01.100,exit,long,18267.0,1
2024-05-12 17:39:01.400,entry,long,18243.0,1
2024-05-12 17:45:01.100,exit,long,18267.0,1
2024-05-12 18:05:01.100,entry,long,18300.0,1
2024-05-12 18:06:03.400,exit,long,18258.0,1
2024-05-12 18:25:01.100,entry,long,18300.0,1
2024-05-12 18:39:04.100,exit,long,18258.0,1
2024-05-12 18:45:01.100,entry,long,18300.0,1
2024-05-12 18:59:05.800,exit,long,18258.0,1
2024-05-12 19:00:00.900,entry,long,18243.0,1
2024-05-12 19:05:01.100,exit,long,18267.0,1
2024-05-12 19:25:01.100,entry,long,18300.0,1
2024-05-12 19:45:01.100,exit,long,18267.0,1
2024-05-12 19:58:00.700,entry,long,18300.0,1
2024-05-12 19:59:04.900,exit,long,18267.0,1
2024-05-12 20:05:01.100,entry,long,18300.0,1
2024-05-12 20:18:01.200,exit,long,18258.0,1
2024-05-12 20:25:01.100,entry,long,18300.0,1
2024-05-12 20:36:05.100,exit,long,18258.0,1
2024-05-12 20:37:00.100,entry,long,18243.0,1
2024-05-12 20:44:01.700,exit,long,18258.0,1
2024-05-12 20:45:01.100,entry,long,18300.0,1
2024-05-12 21:05:01.100,exit,long,18267.0,1
2024-05-12 21:25:01.100,entry,long,18300.0,1
2024-05-12 21:26:00.600,exit,long,18258.0,1
2024-05-12 21:45:01.100,entry,long,18300.0,1
2024-05-12 21:49:03.900,exit,long,18258.0,1
2024-05-12 22:05:01.100,entry,long,18300.0,1
2024-05-12 22:19:05.000,exit,long,18258.0,1
2024-05-12 22:25:01.100,entry,long,18300.0,1
2024-05-12 22:45:01.100,exit,long,18267.0,1
2024-05-12 23:02:03.500,entry,long,18243.0,1
2024-05-12 23:05:01.100,exit,long,18267.0,1
2024-05-12 23:20:03.100,entry,long,18243.0,1
2024-05-12 23:25:01.100,exit,long,18273.0,1
2024-05-12 23:36:02.900,entry,long,18261.0,1
2024-05-12 23:45:00.100,exit,long,18261.0,1
2024-05-12 23:46:01.400,entry,long,18246.0,1
2024-05-12 23:47:04.400,exit,long,18252.0,1
2024-05-12 23:48:00.800,entry,short,18225.0,-1
2024-05-12 23:49:01.700,exit,short,18258.0,-1
2024-05-12 23:50:02.700,entry,short,18228.0,-1
2024-05-12 23:51:00.700,exit,short,18222.0,-1
2024-05-12 23:52:01.700,entry,long,18249.0,1
2024-05-12 23:54:05.600,exit,long,18222.0,1
2024-05-12 23:55:00.000,entry,short,18222.0,-1
2024-05-12 23:58:03.100,exit,short,18237.0,-1
2024-05-12 23:59:01.200,entry,long,18237.0,1
2024-05-13 00:00:00.000,exit,long,18234.0,1
2024-05-13 03:01:00.600,entry,long,18255.0,1
2024-05-13 05:25:03.300,exit,long,18267.0,1
2024-05-13 12:34:02.500,entry,short,18303.0,-1
2024-05-13 13:48:03.100,exit,short,18309.0,-1
2024-05-13 15:29:03.500,entry,short,18327.0,-1
2024-05-13 15:30:00.500,exit,short,18330.0,-1
2024-05-13 15:34:05.600,entry,short,18300.0,-1
2024-05-13 15:35:04.600,exit,short,18297.0,-1
2024-05-13 16:17:02.800,entry,long,18294.0,1
2024-05-13 16:19:02.600,exit,long,18300.0,1
2024-05-13 16:31:05.100,entry,short,18282.0,-1
2024-05-13 16:49:03.900,exit,short,18294.0,-1
2024-05-13 16:51:05.100,entry,long,18297.0,1
2024-05-13 17:04:00.600,exit,long,18288.0,1
2024-05-13 17:18:03.000,entry,long,18297.0,1
2024-05-13 17:29:02.900,exit,long,18288.0,1
2024-05-13 17:30:02.100,entry,short,18270.0,-1
2024-05-13 17:31:02.900,exit,short,18267.0,-1
2024-05-13 18:06:05.500,entry,long,18300.0,1
2024-05-13 18:15:04.800,exit,long,18300.0,1
2024-05-13 19:06:01.100,entry,short,18273.0,-1
2024-05-13 19:10:01.200,exit,short,18258.0,-1
2024-05-13 19:21:03.600,entry,long,18285.0,1
2024-05-13 19:38:05.800,exit,long,18285.0,1
2024-05-13 20:49:00.600,entry,short,18282.0,-1
2024-05-13 21:01:02.100,exit,short,18282.0,-1
2024-05-14 14:30:00.100,entry,short,18285.0,-1
2024-05-14 14:31:01.300,exit,short,18219.0,-1
2024-05-14 14:32:04.800,entry,short,18231.0,-1
2024-05-14 14:33:02.000,exit,short,18234.0,-1
2024-05-14 14:37:01.700,entry,short,18246.0,-1
2024-05-14 14:38:03.100,exit,short,18258.0,-1
2024-05-14 14:45:00.400,entry,short,18261.0,-1
2024-05-14 14:49:00.800,exit,short,18261.0,-1
2024-05-14 14:52:00.900,entry,long,18261.0,1
2024-05-14 15:00:01.900,exit,long,18264.0,1
